https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1612224000000,2021-02-02 00:00:00,BNB/USDT,51.47620000,53.00000000,49.15720000,51.00710000,4675040.87700000,237619391.94346990,667934
1612137600000,2021-02-01 00:00:00,BNB/USDT,44.32910000,52.37360000,43.43310000,51.47810000,6095055.41300000,294440153.89566840,674212
1612051200000,2021-01-31 00:00:00,BNB/USDT,44.80220000,45.82690000,43.30000000,44.32920000,2431692.19800000,107955886.16653170,356678
1611964800000,2021-01-30 00:00:00,BNB/USDT,42.86530000,45.10710000,42.59110000,44.78490000,2767954.29100000,121803577.41098100,408399
1611878400000,2021-01-29 00:00:00,BNB/USDT,42.52770000,44.00000000,41.80170000,42.86180000,3433689.48400000,147364483.45470290,481047
1611792000000,2021-01-28 00:00:00,BNB/USDT,40.89570000,43.08500000,40.31700000,42.52540000,2984098.65100000,125825473.66062470,366517
1611705600000,2021-01-27 00:00:00,BNB/USDT,41.83970000,42.09840000,39.61020000,40.88260000,2638401.37800000,108149178.35937360,367923
1611619200000,2021-01-26 00:00:00,BNB/USDT,41.83470000,42.59800000,39.69550000,41.83960000,2758108.62200000,113401083.84833740,336515
1611532800000,2021-01-25 00:00:00,BNB/USDT,41.82700000,43.42410000,40.53640000,41.83470000,2778238.02000000,117399838.40631640,336526
1611446400000,2021-01-24 00:00:00,BNB/USDT,40.91130000,42.20000000,40.31440000,41.82630000,2340747.62300000,97017133.59785130,217223
1611360000000,2021-01-23 00:00:00,BNB/USDT,40.89380000,41.88000000,39.45550000,40.91090000,2531809.64800000,103044289.63642610,244514
1611273600000,2021-01-22 00:00:00,BNB/USDT,38.65960000,41.52800000,36.85180000,40.89360000,3088685.29500000,122212901.76384950,382460
1611187200000,2021-01-21 00:00:00,BNB/USDT,42.60560000,42.71760000,38.20000000,38.63430000,3388587.65700000,137245296.20173360,428440
1611100800000,2021-01-20 00:00:00,BNB/USDT,42.52410000,43.09920000,40.20000000,42.60690000,3709936.49200000,154503844.31120200,424497
1611014400000,2021-01-19 00:00:00,BNB/USDT,45.35920000,47.21870000,41.70000000,42.52410000,5151546.87200000,229455474.24325180,513040
1610928000000,2021-01-18 00:00:00,BNB/USDT,45.86450000,46.88880000,44.02780000,45.34120000,3069449.93800000,139399114.15538980,366780
1610841600000,2021-01-17 00:00:00,BNB/USDT,43.14130000,46.72280000,40.91920000,45.86750000,3878914.29900000,169754085.72277670,445985
1610755200000,2021-01-16 00:00:00,BNB/USDT,40.89510000,44.12000000,40.62500000,43.14200000,3243054.41400000,138015822.23121690,362622
1610668800000,2021-01-15 00:00:00,BNB/USDT,41.87210000,42.56220000,38.66160000,40.86680000,3431358.93600000,140633163.62560230,363002
