https://www.investing.com
blank,blank,snapped_at,price,market_cap,total_volume
blank,blank,2020-06-13 00:00:00 UTC,0.5558657794602078,353920941.5688303,110366218.72320636
blank,blank,2020-06-12 00:00:00 UTC,0.5394681748321094,342467190.92327416,135639874.69221118
blank,blank,2020-06-11 00:00:00 UTC,0.6041164971319762,385034356.2633667,146732684.4266447
blank,blank,2020-06-10 00:00:00 UTC,0.600954254316239,383924617.6470789,136386187.95446086
blank,blank,2020-06-09 00:00:00 UTC,0.5735324427717358,365939147.54556763,96862618.47521465
blank,blank,2020-06-08 00:00:00 UTC,0.5708715592260499,363924013.9622516,92961647.21210822
blank,blank,2020-06-07 00:00:00 UTC,0.5777197584069753,369060903.6125558,93135704.11082771
blank,blank,2020-06-06 00:00:00 UTC,0.5687435076554411,365251033.0074034,107713126.65751608
blank,blank,2020-06-05 00:00:00 UTC,0.5914878159133556,376071859.5613417,105942431.86422536
blank,blank,2020-06-04 00:00:00 UTC,0.6028947944781881,383530315.98650414,104222629.70260344
blank,blank,2020-06-03 00:00:00 UTC,0.5974573802229701,378691034.46178114,156015416.0617728
blank,blank,2020-06-02 00:00:00 UTC,0.5991758451142828,381885425.9193269,140345060.38942116
blank,blank,2020-06-01 00:00:00 UTC,0.5484264014417798,348992545.116918,119570886.82474393
blank,blank,2020-05-31 00:00:00 UTC,0.5644351721476355,359743417.3574469,122453461.97051142
blank,blank,2020-05-30 00:00:00 UTC,0.5153254341411585,328443268.3806253,73908153.82629025
blank,blank,2020-05-29 00:00:00 UTC,0.5198495681128702,331477037.69081295,78323628.25111744
blank,blank,2020-05-28 00:00:00 UTC,0.5046095557140228,321613490.7275126,99269658.37870301
blank,blank,2020-05-27 00:00:00 UTC,0.5077432412449209,321650111.0342932,116121965.53085433
blank,blank,2020-05-26 00:00:00 UTC,0.4889088802035045,312677633.65867865,64296068.106877536
blank,blank,2020-05-25 00:00:00 UTC,0.46734916398674514,298547621.4172085,63235396.711858496
blank,blank,2020-05-24 00:00:00 UTC,0.5012603725139602,320025775.0055118,88432931.64028893
blank,blank,2020-05-23 00:00:00 UTC,0.5058213883761276,322735627.5883724,126986152.61272141
blank,blank,2020-05-22 00:00:00 UTC,0.46495711448220833,296772042.0138272,104344477.82088508
blank,blank,2020-05-21 00:00:00 UTC,0.49071426948427443,312757313.7914976,88425573.33420815
blank,blank,2020-05-20 00:00:00 UTC,0.482469455761862,307502472.11908597,75333091.71073928
blank,blank,2020-05-19 00:00:00 UTC,0.4805073502361479,306387112.5591996,84707118.68581359
blank,blank,2020-05-18 00:00:00 UTC,0.4704818481127764,299797786.1980202,78461890.4224664
blank,blank,2020-05-17 00:00:00 UTC,0.46899313434061646,298553204.5366027,83900171.6264845
blank,blank,2020-05-16 00:00:00 UTC,0.46636639227943844,297239165.767979,99334554.27346507
blank,blank,2020-05-15 00:00:00 UTC,0.47682726432725947,304592845.0053793,110548811.28195724
blank,blank,2020-05-14 00:00:00 UTC,0.46638761777459664,297252693.8621519,117005367.22932187
blank,blank,2020-05-13 00:00:00 UTC,0.46078194230498754,293679910.0429563,114681860.07181284
blank,blank,2020-05-12 00:00:00 UTC,0.450059518663735,287662542.39896333,133228529.82189378
blank,blank,2020-05-11 00:00:00 UTC,0.4658054766280065,296446294.4643565,163443509.13153824
blank,blank,2020-05-10 00:00:00 UTC,0.49281055663641904,314713026.1294567,141559776.3649648
blank,blank,2020-05-09 00:00:00 UTC,0.5123719124562401,328196520.8848377,125437368.25468443
blank,blank,2020-05-08 00:00:00 UTC,0.4782908431168252,306433932.4369833,120983837.04491536
blank,blank,2020-05-07 00:00:00 UTC,0.46182686127405265,297902270.7762333,100284312.45202775
blank,blank,2020-05-06 00:00:00 UTC,0.4737821662218494,301951540.5157193,119801765.77807449
blank,blank,2020-05-05 00:00:00 UTC,0.4802484302481746,304958313.0814035,133109125.48870312
blank,blank,2020-05-04 00:00:00 UTC,0.4885318716336009,311101378.922869,119460028.67279829
blank,blank,2020-05-03 00:00:00 UTC,0.5037453227552934,321495764.76905465,118878256.82536393
blank,blank,2020-05-02 00:00:00 UTC,0.5000981767218526,319105649.81881326,139023108.45821434
blank,blank,2020-05-01 00:00:00 UTC,0.4889600319121073,313140948.3196868,182268979.5324685
blank,blank,2020-04-30 00:00:00 UTC,0.5156492064875834,326274040.6222068,147642450.13653734
blank,blank,2020-04-29 00:00:00 UTC,0.4883933165807973,312472166.9580708,143083402.8472791
blank,blank,2020-04-28 00:00:00 UTC,0.474693917056705,302181856.1854997,155329170.6403731
blank,blank,2020-04-27 00:00:00 UTC,0.49146874290527115,313256430.4375759,165386301.4315286
blank,blank,2020-04-26 00:00:00 UTC,0.45830095977662205,292293668.3339822,129539667.02806693
blank,blank,2020-04-25 00:00:00 UTC,0.44825548298233675,285581557.0415083,134362868.02611065
blank,blank,2020-04-24 00:00:00 UTC,0.4178239297463623,266480024.26463628,109874970.74680616
blank,blank,2020-04-23 00:00:00 UTC,0.4101139419668059,261482485.80633315,91861534.76785386
blank,blank,2020-04-22 00:00:00 UTC,0.39440000495563027,251442213.11963052,93524244.65314102
blank,blank,2020-04-21 00:00:00 UTC,0.3991184067503905,254363470.45573655,132405065.0452142
blank,blank,2020-04-20 00:00:00 UTC,0.4094658447978003,260992240.16600224,78499372.69980231
blank,blank,2020-04-19 00:00:00 UTC,0.42276723285592266,268943876.5255078,85995712.13002762
blank,blank,2020-04-18 00:00:00 UTC,0.40562209341362254,260675780.02218908,82236796.613162
blank,blank,2020-04-17 00:00:00 UTC,0.40652826367731754,259241821.08091217,109757674.96216922
blank,blank,2020-04-16 00:00:00 UTC,0.3808947059299393,242559462.25548118,70270613.64572023
blank,blank,2020-04-15 00:00:00 UTC,0.3873645676097066,247438839.47958633,76547062.07878965
blank,blank,2020-04-14 00:00:00 UTC,0.3878410539650069,247880356.49446556,84682241.69254735
blank,blank,2020-04-13 00:00:00 UTC,0.4023779793240129,258695675.15112478,67288193.53227547
blank,blank,2020-04-12 00:00:00 UTC,0.4051788683054324,258073254.81643552,80629179.22367424
blank,blank,2020-04-11 00:00:00 UTC,0.4017558030074079,256004824.44474313,100438531.0016118
blank,blank,2020-04-10 00:00:00 UTC,0.4478166537034614,285248540.5564807,100715111.22437927
blank,blank,2020-04-09 00:00:00 UTC,0.44792383546990633,285410200.06825376,95301985.81716113
blank,blank,2020-04-08 00:00:00 UTC,0.42207924828408766,268695185.31624454,100172971.09324978
blank,blank,2020-04-07 00:00:00 UTC,0.4318144819048265,273434241.0122446,106988414.89776571
