https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT,tradecount
1611878400000,2021-01-29 00:00:00,EOS/USDT,2.70770000,2.90000000,2.64680000,2.72320000,42065679.73000000,116251941.56142300,249591
1611792000000,2021-01-28 00:00:00,EOS/USDT,2.50130000,2.79430000,2.47360000,2.70900000,28543070.19000000,76243141.65394400,159411
1611705600000,2021-01-27 00:00:00,EOS/USDT,2.62780000,2.62810000,2.46330000,2.50010000,13739860.94000000,34831585.85311800,95692
1611619200000,2021-01-26 00:00:00,EOS/USDT,2.64830000,2.67340000,2.55370000,2.62780000,11431400.81000000,29872800.24321900,80949
1611532800000,2021-01-25 00:00:00,EOS/USDT,2.71350000,2.76710000,2.63080000,2.64810000,14815480.94000000,40250639.41093200,96615
1611446400000,2021-01-24 00:00:00,EOS/USDT,2.70280000,2.77320000,2.64610000,2.71350000,14726360.60000000,40079730.29564500,89780
1611360000000,2021-01-23 00:00:00,EOS/USDT,2.62070000,2.78280000,2.57470000,2.70280000,22166538.13000000,59378553.47033500,130316
1611273600000,2021-01-22 00:00:00,EOS/USDT,2.54420000,2.67480000,2.43090000,2.62080000,22876177.83000000,58853239.15124400,139314
1611187200000,2021-01-21 00:00:00,EOS/USDT,2.77610000,2.78320000,2.49580000,2.54510000,26622270.07000000,70150607.05805500,165623
1611100800000,2021-01-20 00:00:00,EOS/USDT,2.78970000,2.82340000,2.65600000,2.77560000,24136427.43000000,66217134.44955000,178036
1611014400000,2021-01-19 00:00:00,EOS/USDT,2.81550000,2.92720000,2.78200000,2.78950000,34691602.04000000,99179856.75352700,204914
1610928000000,2021-01-18 00:00:00,EOS/USDT,2.76390000,2.83510000,2.70210000,2.81440000,21835501.73000000,60630711.97474800,137726
1610841600000,2021-01-17 00:00:00,EOS/USDT,2.77710000,2.80350000,2.68040000,2.76400000,21830570.16000000,59964210.35866100,137575
1610755200000,2021-01-16 00:00:00,EOS/USDT,2.75670000,2.88430000,2.70560000,2.77700000,34613368.34000000,96995202.23473700,216069
1610668800000,2021-01-15 00:00:00,EOS/USDT,2.80940000,2.93690000,2.58000000,2.75660000,41381415.15000000,114546660.32193300,229178
1610582400000,2021-01-14 00:00:00,EOS/USDT,2.76810000,2.85890000,2.69130000,2.80890000,32720798.98000000,90577969.66588100,184244
1610496000000,2021-01-13 00:00:00,EOS/USDT,2.59840000,2.79330000,2.52430000,2.76700000,27740001.36000000,74106859.34451400,141858
1610409600000,2021-01-12 00:00:00,EOS/USDT,2.66920000,2.77040000,2.53050000,2.59690000,36062487.03000000,95812331.84051400,188592
1610323200000,2021-01-11 00:00:00,EOS/USDT,3.05550000,3.06960000,2.38590000,2.66630000,110068969.12000000,294810900.07621300,510223
1610236800000,2021-01-10 00:00:00,EOS/USDT,3.61410000,3.92200000,2.85000000,3.05520000,123377042.10000000,413525613.63180700,588697
1610150400000,2021-01-09 00:00:00,EOS/USDT,3.10950000,3.73910000,3.01260000,3.61450000,67692589.97000000,233160829.46562500,341310
1610064000000,2021-01-08 00:00:00,EOS/USDT,3.19510000,3.25310000,2.90000000,3.10940000,44115462.00000000,136291274.10333600,228969
1609977600000,2021-01-07 00:00:00,EOS/USDT,3.37140000,3.44880000,3.05000000,3.19430000,70175676.38000000,230729793.10156800,354359
1609891200000,2021-01-06 00:00:00,EOS/USDT,2.88610000,3.45500000,2.84740000,3.37110000,64001252.23000000,203259129.72315800,352420
1609804800000,2021-01-05 00:00:00,EOS/USDT,2.81990000,2.95370000,2.71040000,2.88620000,30181879.28000000,85593226.41825100,183292
1609718400000,2021-01-04 00:00:00,EOS/USDT,2.79900000,3.12200000,2.62000000,2.81910000,52251721.55000000,149823765.49561200,289402
1609632000000,2021-01-03 00:00:00,EOS/USDT,2.63160000,2.84440000,2.57670000,2.79850000,34686424.89000000,94151339.13296400,220237
1609545600000,2021-01-02 00:00:00,EOS/USDT,2.63810000,2.72320000,2.56270000,2.63210000,17549382.44000000,46146783.41053700,128653
1609459200000,2021-01-01 00:00:00,EOS/USDT,2.59060000,2.73130000,2.56700000,2.63780000,13298192.52000000,35099545.43622500,101560
1609372800000,2020-12-31 00:00:00,EOS/USDT,2.61240000,2.65670000,2.51190000,2.59110000,13739882.68000000,35584325.31335200,94764
1609286400000,2020-12-30 00:00:00,EOS/USDT,2.64060000,2.67230000,2.53480000,2.61230000,16477769.52000000,42772972.93096900,109286
1609200000000,2020-12-29 00:00:00,EOS/USDT,2.76380000,2.79370000,2.50230000,2.63910000,22432367.24000000,58984307.30289700,145045
1609113600000,2020-12-28 00:00:00,EOS/USDT,2.71640000,2.89410000,2.68500000,2.76380000,21818607.04000000,60788481.40763000,137437
1609027200000,2020-12-27 00:00:00,EOS/USDT,2.61320000,2.87210000,2.47730000,2.71670000,36340504.78000000,97901772.64372600,191941
1608940800000,2020-12-26 00:00:00,EOS/USDT,2.66570000,2.69590000,2.52510000,2.61280000,21402740.25000000,55953250.98728900,123712
1608854400000,2020-12-25 00:00:00,EOS/USDT,2.66730000,2.74330000,2.54220000,2.66610000,29259347.75000000,77152337.13831700,162235
1608768000000,2020-12-24 00:00:00,EOS/USDT,2.31470000,2.69220000,2.25080000,2.66820000,42668258.77000000,105299099.45573700,235217
1608681600000,2020-12-23 00:00:00,EOS/USDT,2.89690000,2.91470000,1.99640000,2.31480000,49781788.43000000,127551682.32687700,261635
1608595200000,2020-12-22 00:00:00,EOS/USDT,2.92920000,2.95390000,2.77100000,2.89800000,23679544.35000000,68070300.47640500,144499
1608508800000,2020-12-21 00:00:00,EOS/USDT,3.13460000,3.27840000,2.90210000,2.92880000,28585530.14000000,88132927.39457300,173621
1608422400000,2020-12-20 00:00:00,EOS/USDT,3.05280000,3.33230000,3.00150000,3.13610000,28833397.52000000,91790269.08777600,183409
1608336000000,2020-12-19 00:00:00,EOS/USDT,3.05970000,3.12000000,3.03000000,3.05350000,12646345.40000000,38948469.29738100,82690
1608249600000,2020-12-18 00:00:00,EOS/USDT,3.04150000,3.13140000,2.98300000,3.05940000,15551156.84000000,47443872.48071700,104747
1608163200000,2020-12-17 00:00:00,EOS/USDT,3.10130000,3.25730000,2.97140000,3.04160000,31664479.85000000,98634775.76047300,200515
1608076800000,2020-12-16 00:00:00,EOS/USDT,2.86150000,3.11460000,2.81590000,3.10200000,16341154.18000000,48439487.69564400,120064
1607990400000,2020-12-15 00:00:00,EOS/USDT,2.84710000,2.90230000,2.80630000,2.86150000,8046692.67000000,23010845.44240000,63443
1607904000000,2020-12-14 00:00:00,EOS/USDT,2.85050000,2.86320000,2.79850000,2.84700000,6998578.65000000,19803474.70197900,54190
