https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1606348800000,2020-11-26 00:00:00,ADA/USDT,0.15474000,0.16085000,0.11230000,0.13843000,1645992625.90000000,223129884.02621500,413242
1606262400000,2020-11-25 00:00:00,ADA/USDT,0.16722000,0.17549000,0.14702000,0.15473000,1078036852.70000000,177884968.93659600,335752
1606176000000,2020-11-24 00:00:00,ADA/USDT,0.15451000,0.18300000,0.15000000,0.16721000,1689043010.10000000,281406313.97044600,515388
1606089600000,2020-11-23 00:00:00,ADA/USDT,0.14593000,0.15925000,0.14100000,0.15445000,1389843989.70000000,210177734.52179900,399986
1606003200000,2020-11-22 00:00:00,ADA/USDT,0.13335000,0.15352000,0.12000000,0.14599000,1960688777.50000000,265147097.86978800,448124
1605916800000,2020-11-21 00:00:00,ADA/USDT,0.11826000,0.13472000,0.11605000,0.13334000,1071722949.30000000,134223347.73080000,265512
1605830400000,2020-11-20 00:00:00,ADA/USDT,0.10590000,0.11900000,0.10549000,0.11828000,437634200.70000000,48645520.07286600,127423
1605744000000,2020-11-19 00:00:00,ADA/USDT,0.10662000,0.10816000,0.10435000,0.10590000,237807123.00000000,25258809.56880200,66459
1605657600000,2020-11-18 00:00:00,ADA/USDT,0.10944000,0.11161000,0.10171000,0.10658000,434138632.20000000,46348194.86073600,109490
1605571200000,2020-11-17 00:00:00,ADA/USDT,0.10387000,0.11246000,0.10354000,0.10947000,422358548.50000000,46065393.68678500,133129
1605484800000,2020-11-16 00:00:00,ADA/USDT,0.10045000,0.10499000,0.09950000,0.10387000,215990529.70000000,22246202.72904400,71450
1605398400000,2020-11-15 00:00:00,ADA/USDT,0.10411000,0.10527000,0.09850000,0.10046000,201375366.60000000,20647920.49770700,60583
1605312000000,2020-11-14 00:00:00,ADA/USDT,0.10633000,0.10730000,0.10142000,0.10411000,228682972.00000000,23742897.25161500,67849
1605225600000,2020-11-13 00:00:00,ADA/USDT,0.10462000,0.10798000,0.10401000,0.10629000,237407048.50000000,25204728.43660100,78935
1605139200000,2020-11-12 00:00:00,ADA/USDT,0.10597000,0.10667000,0.10254000,0.10460000,223674122.10000000,23422636.26305400,72476
1605052800000,2020-11-11 00:00:00,ADA/USDT,0.10590000,0.10890000,0.10541000,0.10599000,251231387.10000000,26998072.99359700,83826
1604966400000,2020-11-10 00:00:00,ADA/USDT,0.10555000,0.10915000,0.10355000,0.10590000,303777358.80000000,32285456.14504000,92669
1604880000000,2020-11-09 00:00:00,ADA/USDT,0.10652000,0.10799000,0.10114000,0.10561000,310077984.40000000,32470998.37674600,91304
1604793600000,2020-11-08 00:00:00,ADA/USDT,0.10131000,0.10832000,0.09970000,0.10655000,270595831.00000000,28449684.67741600,81231
1604707200000,2020-11-07 00:00:00,ADA/USDT,0.10912000,0.11387000,0.09861000,0.10128000,647454529.20000000,68824996.44569700,163067
1604620800000,2020-11-06 00:00:00,ADA/USDT,0.09749000,0.11000000,0.09706000,0.10910000,451716971.60000000,47427482.92103400,129308
1604534400000,2020-11-05 00:00:00,ADA/USDT,0.09553000,0.09810000,0.09207000,0.09752000,332802061.70000000,31727134.72502700,72246
1604448000000,2020-11-04 00:00:00,ADA/USDT,0.09360000,0.09628000,0.09155000,0.09550000,256317711.90000000,24074287.53743600,64713
1604361600000,2020-11-03 00:00:00,ADA/USDT,0.09222000,0.09417000,0.08793000,0.09357000,244514002.70000000,22310146.75443000,60952
1604275200000,2020-11-02 00:00:00,ADA/USDT,0.09827000,0.10004000,0.09151000,0.09221000,250365831.60000000,23937317.22868300,56812
1604188800000,2020-11-01 00:00:00,ADA/USDT,0.09296000,0.09868000,0.09241000,0.09827000,138991316.10000000,13268230.33605100,33696
1604102400000,2020-10-31 00:00:00,ADA/USDT,0.09326000,0.09555000,0.09196000,0.09300000,165418867.70000000,15510001.57801300,39997
1604016000000,2020-10-30 00:00:00,ADA/USDT,0.09527000,0.09569000,0.08915000,0.09330000,278450826.00000000,25752587.65077300,59140
