https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1607817600000,2020-12-13 00:00:00,ETH/USDT,568.09000000,595.00000000,563.22000000,590.70000000,657794.46158000,383072560.34673000,359525
1607731200000,2020-12-12 00:00:00,ETH/USDT,544.46000000,574.00000000,543.10000000,568.04000000,573913.95311000,320867352.46155610,321104
1607644800000,2020-12-11 00:00:00,ETH/USDT,558.99000000,560.80000000,535.50000000,544.43000000,768921.78317000,419607430.44734580,400545
1607558400000,2020-12-10 00:00:00,ETH/USDT,573.20000000,575.70000000,548.11000000,558.99000000,608414.51466000,341352126.26706100,376548
1607472000000,2020-12-09 00:00:00,ETH/USDT,554.92000000,578.08000000,530.43000000,573.09000000,997192.16738000,555142155.88265270,535975
1607385600000,2020-12-08 00:00:00,ETH/USDT,591.27000000,595.00000000,549.22000000,554.94000000,804443.00717000,461781203.16172090,422868
1607299200000,2020-12-07 00:00:00,ETH/USDT,601.59000000,603.15000000,584.22000000,591.28000000,498329.37589000,295598087.02799800,347036
1607212800000,2020-12-06 00:00:00,ETH/USDT,596.82000000,607.50000000,583.00000000,601.54000000,602496.96339000,359236400.29499330,363661
1607126400000,2020-12-05 00:00:00,ETH/USDT,567.24000000,597.11000000,560.88000000,596.80000000,701567.95564000,410382624.74253480,389600
1607040000000,2020-12-04 00:00:00,ETH/USDT,615.84000000,620.00000000,565.82000000,567.24000000,1052452.78666000,624543865.90086520,556641
1606953600000,2020-12-03 00:00:00,ETH/USDT,596.88000000,623.44000000,585.82000000,615.85000000,935687.91723000,568024618.94103900,513555
1606867200000,2020-12-02 00:00:00,ETH/USDT,585.26000000,604.93000000,575.00000000,596.89000000,1069538.65619000,632858653.20502320,604591
1606780800000,2020-12-01 00:00:00,ETH/USDT,616.65000000,635.70000000,560.00000000,585.26000000,2163875.81376000,1300668283.31968030,1018862
1606694400000,2020-11-30 00:00:00,ETH/USDT,576.32000000,616.85000000,570.07000000,616.66000000,1501989.45408000,895373784.83004420,717837
1606608000000,2020-11-29 00:00:00,ETH/USDT,537.50000000,576.90000000,530.32000000,576.30000000,855276.46664000,471629262.24329860,454026
1606521600000,2020-11-28 00:00:00,ETH/USDT,518.59000000,547.94000000,506.59000000,537.52000000,900508.61431000,475169074.69038870,456028
1606435200000,2020-11-27 00:00:00,ETH/USDT,519.83000000,530.62000000,493.72000000,518.68000000,1088064.28114000,558985308.90236460,578800
1606348800000,2020-11-26 00:00:00,ETH/USDT,569.38000000,577.14000000,481.00000000,519.83000000,2683460.74171000,1386030255.16807190,1259051
1606262400000,2020-11-25 00:00:00,ETH/USDT,604.98000000,606.00000000,553.83000000,569.50000000,1219440.02727000,716972340.67452020,657386
1606176000000,2020-11-24 00:00:00,ETH/USDT,608.58000000,623.00000000,585.00000000,604.97000000,1606450.49193000,976376501.31147490,838352
1606089600000,2020-11-23 00:00:00,ETH/USDT,560.03000000,610.85000000,550.12000000,608.58000000,2076008.84846000,1218150934.31147740,896026
1606003200000,2020-11-22 00:00:00,ETH/USDT,552.42000000,580.88000000,511.28000000,560.03000000,1850317.93581000,1014064539.08814930,768900
1605916800000,2020-11-21 00:00:00,ETH/USDT,510.12000000,553.32000000,502.82000000,552.35000000,1548851.29067000,815402228.52281210,649077
1605830400000,2020-11-20 00:00:00,ETH/USDT,471.26000000,514.40000000,470.65000000,510.12000000,1516361.90736000,756660192.86075660,607663
1605744000000,2020-11-19 00:00:00,ETH/USDT,478.43000000,480.75000000,464.86000000,471.25000000,817418.52685000,387199111.37944740,404737
1605657600000,2020-11-18 00:00:00,ETH/USDT,482.11000000,495.31000000,456.60000000,478.41000000,1477696.29116000,706704397.41086890,637641
1605571200000,2020-11-17 00:00:00,ETH/USDT,460.51000000,484.88000000,459.80000000,482.15000000,1151573.37456000,544239665.38175160,464336
1605484800000,2020-11-16 00:00:00,ETH/USDT,448.07000000,466.00000000,445.45000000,460.55000000,812060.44638000,370889706.69923280,328762
1605398400000,2020-11-15 00:00:00,ETH/USDT,460.90000000,462.89000000,440.19000000,448.08000000,665217.56671000,301406126.45931180,311451
1605312000000,2020-11-14 00:00:00,ETH/USDT,476.42000000,477.47000000,452.00000000,460.89000000,735252.78540000,340142257.19369760,350772
1605225600000,2020-11-13 00:00:00,ETH/USDT,462.48000000,478.01000000,457.12000000,476.43000000,976665.09752000,456232937.20613030,427363
1605139200000,2020-11-12 00:00:00,ETH/USDT,463.09000000,470.00000000,451.20000000,462.39000000,990776.62912000,455971309.21685460,411840
1605052800000,2020-11-11 00:00:00,ETH/USDT,450.34000000,476.25000000,449.28000000,463.09000000,1205782.84262000,559228791.89035090,560360
1604966400000,2020-11-10 00:00:00,ETH/USDT,444.32000000,455.00000000,438.70000000,450.34000000,866872.41108000,388190148.20789510,384228
1604880000000,2020-11-09 00:00:00,ETH/USDT,454.29000000,459.10000000,433.09000000,444.32000000,1099213.24641000,491928164.98124340,469947
1604793600000,2020-11-08 00:00:00,ETH/USDT,435.20000000,460.10000000,431.99000000,454.30000000,840908.46841000,375679148.23503960,354341
1604707200000,2020-11-07 00:00:00,ETH/USDT,455.91000000,468.28000000,424.14000000,435.21000000,1653416.59610000,743871175.78212340,674858
1604620800000,2020-11-06 00:00:00,ETH/USDT,416.73000000,458.27000000,414.76000000,455.91000000,1682440.96026000,736015135.62721030,666505
1604534400000,2020-11-05 00:00:00,ETH/USDT,402.50000000,420.40000000,396.14000000,416.69000000,1475139.77342000,601591250.40124900,513574
1604448000000,2020-11-04 00:00:00,ETH/USDT,387.88000000,408.39000000,376.47000000,402.49000000,1157064.35076000,454481208.40200980,392310
1604361600000,2020-11-03 00:00:00,ETH/USDT,383.01000000,390.00000000,370.23000000,387.88000000,752954.37114000,286291773.96848450,280412
