https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume QTUM,Volume USDT,tradecount
1608422400000,2020-12-20 00:00:00,QTUM/USDT,2.81100000,2.91900000,2.72000000,2.80200000,1843553.83300000,5193258.30677900,17180
1608336000000,2020-12-19 00:00:00,QTUM/USDT,2.74000000,2.94000000,2.72500000,2.81100000,2077145.01500000,5918088.14662600,19696
1608249600000,2020-12-18 00:00:00,QTUM/USDT,2.68800000,2.78600000,2.62800000,2.74000000,1197280.65900000,3249758.84942900,11849
1608163200000,2020-12-17 00:00:00,QTUM/USDT,2.76300000,2.84400000,2.64800000,2.68800000,2940554.78500000,8111948.29973000,25986
1608076800000,2020-12-16 00:00:00,QTUM/USDT,2.58700000,2.77400000,2.51900000,2.76600000,1581180.99100000,4174263.07323200,16113
1607990400000,2020-12-15 00:00:00,QTUM/USDT,2.52100000,2.65600000,2.45200000,2.58600000,1866204.57800000,4779157.07878600,12907
1607904000000,2020-12-14 00:00:00,QTUM/USDT,2.55800000,2.55800000,2.46400000,2.52100000,643652.06600000,1616206.11168600,6138
1607817600000,2020-12-13 00:00:00,QTUM/USDT,2.46700000,2.61200000,2.45400000,2.55700000,1033525.59700000,2628180.22799900,10025
1607731200000,2020-12-12 00:00:00,QTUM/USDT,2.33800000,2.48100000,2.33000000,2.46900000,805193.34100000,1961878.00128100,6948
1607644800000,2020-12-11 00:00:00,QTUM/USDT,2.43000000,2.43900000,2.31500000,2.33700000,850332.73100000,2009594.77616900,7490
1607558400000,2020-12-10 00:00:00,QTUM/USDT,2.49100000,2.51000000,2.35900000,2.43000000,791009.64600000,1918729.07922000,6752
1607472000000,2020-12-09 00:00:00,QTUM/USDT,2.41000000,2.50600000,2.29000000,2.49100000,1754405.38800000,4242838.13075900,14535
1607385600000,2020-12-08 00:00:00,QTUM/USDT,2.61200000,2.61700000,2.37600000,2.41000000,1359890.11500000,3386235.50775900,11966
1607299200000,2020-12-07 00:00:00,QTUM/USDT,2.65300000,2.69200000,2.56400000,2.61200000,868520.33800000,2287043.65834800,8004
1607212800000,2020-12-06 00:00:00,QTUM/USDT,2.71700000,2.75600000,2.58300000,2.65300000,1173466.73100000,3116235.35144700,9918
1607126400000,2020-12-05 00:00:00,QTUM/USDT,2.59000000,2.73900000,2.55900000,2.71800000,956536.27100000,2548817.60504000,8601
