Date,Price,Open,High,Low,Vol.,Change %
Oct 22 2020,1904.60,1927.40,1929.40,1894.20,215.58K,-1.29%
Oct 21 2020,1929.50,1911.60,1936.00,1911.60,201.27K,0.74%
Oct 20 2020,1915.40,1906.40,1917.60,1896.60,163.91K,0.19%
Oct 19 2020,1911.70,1903.20,1923.40,1900.20,159.85K,0.28%
Oct 16 2020,1906.40,1912.70,1918.70,1901.10,146.91K,-0.13%
Oct 15 2020,1908.90,1906.00,1913.20,1892.70,213.57K,0.08%
Oct 14 2020,1907.30,1895.40,1917.50,1885.00,188.30K,0.67%
Oct 13 2020,1894.60,1927.30,1930.60,1889.30,267.54K,-1.78%
Oct 12 2020,1928.90,1935.00,1939.40,1923.80,157.21K,0.14%
Oct 09 2020,1926.20,1898.40,1936.80,1898.00,229.85K,1.64%
Oct 08 2020,1895.10,1890.60,1905.30,1885.30,185.45K,0.23%
Oct 07 2020,1890.80,1882.60,1902.40,1877.10,188.59K,-0.94%
Oct 06 2020,1908.80,1917.80,1927.00,1878.20,219.44K,-0.59%
Oct 05 2020,1920.10,1910.90,1924.90,1891.20,177.59K,0.66%
Oct 02 2020,1907.60,1911.00,1923.60,1895.20,212.73K,-0.45%
Oct 01 2020,1916.30,1891.20,1917.90,1890.00,262.09K,1.10%
Sep 30 2020,1895.50,1903.20,1908.20,1885.80,259.87K,-0.40%
Sep 29 2020,1903.20,1886.40,1904.80,1880.80,217.80K,1.11%
Sep 28 2020,1882.30,1862.70,1888.20,1851.10,235.92K,0.86%
Sep 25 2020,1866.30,1872.70,1879.30,1854.10,230.86K,-0.56%
Sep 24 2020,1876.90,1866.90,1880.90,1851.00,345.04K,0.45%
Sep 23 2020,1868.40,1905.10,1909.90,1856.00,411.56K,-2.05%
Sep 22 2020,1907.60,1918.10,1925.50,1898.90,282.71K,-0.16%
Sep 21 2020,1910.60,1957.30,1962.90,1885.40,381.84K,-2.62%
Sep 18 2020,1962.10,1951.10,1968.20,1951.10,174.77K,0.63%
Sep 17 2020,1949.90,1967.60,1969.30,1938.20,273.14K,-1.05%
Sep 16 2020,1970.50,1961.40,1983.80,1957.20,298.39K,0.22%
Sep 15 2020,1966.20,1966.20,1982.40,1955.60,239.54K,0.13%
Sep 14 2020,1963.70,1948.90,1972.50,1945.20,200.09K,0.81%
Sep 11 2020,1947.90,1953.80,1963.40,1944.00,205.23K,-0.83%
Sep 10 2020,1964.30,1955.30,1975.20,1948.60,271.48K,0.48%
Sep 09 2020,1954.90,1939.40,1959.70,1926.30,227.18K,0.60%
Sep 08 2020,1943.20,1938.00,1948.30,1911.70,416.01K,0.31%
Sep 07 2020,1937.10,1940.70,1947.40,1930.45,-,-0.18%
Sep 06 2020,1940.65,1941.90,1944.30,1937.65,-,0.33%
Sep 04 2020,1934.30,1938.00,1956.60,1921.60,304.74K,-0.18%
Sep 03 2020,1937.80,1948.90,1956.60,1927.20,303.03K,-0.35%
Sep 02 2020,1944.70,1976.80,1980.40,1938.90,332.59K,-1.73%
Sep 01 2020,1978.90,1973.70,2001.20,1969.20,304.89K,0.02%
Aug 31 2020,1978.60,1973.90,1985.80,1962.30,245.11K,0.19%
Aug 28 2020,1974.90,1937.50,1983.00,1928.20,334.10K,2.19%
Aug 27 2020,1932.60,1963.00,1987.00,1914.70,467.17K,-1.02%
Aug 26 2020,1952.50,1939.00,1963.40,1908.40,342.21K,1.53%
Aug 25 2020,1923.10,1935.90,1944.10,1919.10,274.11K,-0.83%
Aug 24 2020,1939.20,1947.90,1970.30,1930.80,286.26K,-0.40%
Aug 21 2020,1947.00,1955.60,1963.10,1916.60,355.07K,0.03%
Aug 20 2020,1946.50,1934.40,1963.10,1928.90,383.34K,-1.21%
Aug 19 2020,1970.30,2010.50,2015.60,1930.50,443.26K,-2.13%
Aug 18 2020,2013.10,1993.60,2024.60,1985.20,361.48K,0.72%
Aug 17 2020,1998.70,1956.40,2000.80,1939.10,289.44K,2.51%
Aug 14 2020,1949.80,1963.80,1970.00,1939.10,241.80K,-1.05%
Aug 13 2020,1970.40,1927.30,1974.80,1923.00,349.89K,1.10%
Aug 12 2020,1949.00,1921.60,1961.00,1874.20,459.84K,0.14%
Aug 11 2020,1946.30,2038.40,2040.50,1911.30,565.00K,-4.58%
Aug 10 2020,2039.70,2044.80,2060.80,2027.80,251.31K,0.58%
Aug 07 2020,2028.00,2076.40,2089.20,2024.80,398.13K,-2.00%
Aug 06 2020,2069.40,2055.00,2081.80,2049.00,312.76K,0.98%
Aug 05 2020,2049.30,2037.00,2070.30,2027.50,366.38K,1.40%
Aug 04 2020,2021.00,1993.50,2037.70,1982.60,274.42K,1.75%
Aug 03 2020,1986.30,1997.40,2009.50,1975.20,178.75K,0.02%
Jul 31 2020,1985.90,1973.60,2005.40,1971.40,279.32K,0.97%
Jul 30 2020,1966.80,1986.40,1987.30,1952.30,271.38K,-0.50%
Jul 29 2020,1976.70,1971.90,1998.40,1955.70,197.82K,0.65%
Jul 28 2020,1963.90,1963.20,2000.00,1927.50,161.58K,0.43%
Jul 27 2020,1955.40,1929.00,1971.30,1926.80,137.85K,1.57%
Jul 24 2020,1925.20,1912.30,1933.60,1908.00,66.45K,0.41%
Jul 23 2020,1917.40,1900.00,1927.10,1890.40,72.36K,1.31%
Jul 22 2020,1892.60,1867.80,1899.00,1867.80,49.86K,1.23%
Jul 21 2020,1869.60,1842.50,1870.50,1839.90,31.69K,1.60%
Jul 20 2020,1840.10,1835.50,1846.10,1830.70,19.19K,0.35%
Jul 17 2020,1833.70,1822.90,1837.60,1821.00,16.39K,0.39%
Jul 16 2020,1826.50,1840.70,1843.70,1819.90,18.23K,-0.82%
Jul 15 2020,1841.60,1839.70,1847.20,1831.90,13.32K,0.01%
Jul 14 2020,1841.50,1834.20,1843.00,1819.30,40.63K,-0.12%
Jul 13 2020,1843.70,1831.60,1847.70,1831.60,36.09K,0.68%
Jul 10 2020,1831.30,1837.00,1846.30,1825.50,40.13K,-0.12%
Jul 09 2020,1833.50,1849.80,1854.60,1829.60,48.72K,-0.92%
Jul 08 2020,1850.60,1832.60,1857.00,1829.10,58.42K,0.89%
Jul 07 2020,1834.30,1817.20,1835.00,1804.80,18.51K,1.00%
Jul 06 2020,1816.10,1809.30,1821.30,1801.60,10.49K,1.59%
Jul 03 2020,1787.60,1786.90,1788.70,1783.65,-,-1.35%
Jul 02 2020,1812.00,1802.20,1813.90,1788.30,11.53K,0.56%
Jul 01 2020,1801.90,1817.50,1827.10,1789.80,15.52K,-1.02%
Jun 30 2020,1820.40,1803.70,1823.50,1794.00,8.60K,1.13%
Jun 29 2020,1800.10,1807.30,1808.60,1795.30,4.16K,0.09%
Jun 26 2020,1798.50,1792.50,1804.00,1772.00,4.76K,0.56%
Jun 25 2020,1788.40,1789.30,1796.60,1781.60,6.30K,-0.23%
Jun 24 2020,1792.60,1800.40,1810.70,1787.80,8.73K,-0.25%
Jun 23 2020,1797.10,1780.00,1801.50,1774.00,4.07K,0.86%
Jun 22 2020,1781.70,1780.30,1793.60,1769.00,5.87K,0.74%
Jun 19 2020,1768.60,1746.60,1775.60,1745.50,8.36K,1.18%
Jun 18 2020,1747.90,1752.90,1765.20,1739.60,4.78K,-0.31%
Jun 17 2020,1753.40,1751.50,1756.80,1735.60,3.83K,-0.06%
Jun 16 2020,1754.40,1751.40,1757.50,1739.80,4.23K,0.54%
Jun 15 2020,1744.90,1759.10,1759.60,1724.60,4.43K,-0.59%
Jun 12 2020,1755.20,1751.70,1770.50,1746.90,3.61K,-0.14%
Jun 11 2020,1757.60,1764.90,1772.60,1746.00,6.57K,1.07%
Jun 10 2020,1739.00,1737.70,1767.00,1732.80,8.14K,-0.07%
Jun 09 2020,1740.30,1724.90,1747.50,1715.90,6.82K,0.96%
Jun 08 2020,1723.80,1706.10,1726.00,1700.10,4.83K,1.29%
Jun 05 2020,1701.90,1740.20,1741.90,1690.10,9.81K,-2.55%
Jun 04 2020,1746.40,1721.00,1747.30,1718.50,5.81K,1.33%
Jun 03 2020,1723.50,1750.30,1754.10,1707.50,7.57K,-1.50%
Jun 02 2020,1749.70,1766.20,1771.00,1743.40,4.99K,-0.79%
